order_id,item_id,product_id,quantity,list_price_x,discount,extract_date_x,source_x,list_price_egp,product_name,brand_id,category_id,model_year,list_price_y,extract_date_y,source_y,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_date,source,late_delivery,latency days,weekend,order_status_desc
1,1.0,20,1,599.99,0.2,2024-04-28 18:16:04.016490,postgre,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 18:21:32.428219,datalake,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
1,2.0,8,2,1799.99,0.07,2024-04-28 18:16:04.016490,postgre,86150.24838485,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-28 18:21:32.428219,datalake,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
1,3.0,10,2,1549.0,0.05,2024-04-28 18:16:04.016490,postgre,74137.486735,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-28 18:21:32.428219,datalake,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
1,4.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre,28716.43038485,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-28 18:21:32.428219,datalake,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
1,5.0,4,1,2899.99,0.2,2024-04-28 18:16:04.016490,postgre,138797.91488484998,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2024-04-28 18:21:32.428219,datalake,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
2,1.0,20,1,599.99,0.07,2024-04-28 18:16:04.016490,postgre,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 18:21:32.428219,datalake,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
2,2.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre,28716.43038485,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-28 18:21:32.428219,datalake,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
3,1.0,3,1,999.99,0.05,2024-04-28 18:16:04.016490,postgre,47861.03638485,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-28 18:21:32.428219,datalake,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
3,2.0,20,1,599.99,0.05,2024-04-28 18:16:04.016490,postgre,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 18:21:32.428219,datalake,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 18:15:34.177976,postgre,False,,True,Completed
4,1.0,2,2,749.99,0.1,2024-04-28 18:16:04.016490,postgre,35895.657634849995,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-28 18:21:32.428219,datalake,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-04-28 18:15:34.177976,postgre,True,1 days,False,Completed
