order_id,item_id,product_id,quantity,list_price,discount,extract_date,source
1,1,20,1,599.99,0.2,2024-04-28 18:16:04.016490,postgre
1,2,8,2,1799.99,0.07,2024-04-28 18:16:04.016490,postgre
1,3,10,2,1549.0,0.05,2024-04-28 18:16:04.016490,postgre
1,4,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
1,5,4,1,2899.99,0.2,2024-04-28 18:16:04.016490,postgre
2,1,20,1,599.99,0.07,2024-04-28 18:16:04.016490,postgre
2,2,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
3,1,3,1,999.99,0.05,2024-04-28 18:16:04.016490,postgre
3,2,20,1,599.99,0.05,2024-04-28 18:16:04.016490,postgre
4,1,2,2,749.99,0.1,2024-04-28 18:16:04.016490,postgre
5,1,10,2,1549.0,0.05,2024-04-28 18:16:04.016490,postgre
2,2,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
3,1,3,1,999.99,0.05,2024-04-28 18:16:04.016490,postgre
5,2,17,1,429.0,0.07,2024-04-28 18:16:04.016490,postgre
5,3,26,1,599.99,0.07,2024-04-28 18:16:04.016490,postgre
6,1,18,1,449.0,0.07,2024-04-28 18:16:04.016490,postgre
6,2,12,2,549.99,0.05,2024-04-28 18:16:04.016490,postgre
6,3,20,1,599.99,0.1,2024-04-28 18:16:04.016490,postgre
6,4,3,2,999.99,0.07,2024-04-28 18:16:04.016490,postgre
6,5,9,2,2999.99,0.07,2024-04-28 18:16:04.016490,postgre
7,1,15,1,529.99,0.07,2024-04-28 18:16:04.016490,postgre
7,2,3,1,999.99,0.1,2024-04-28 18:16:04.016490,postgre
7,3,17,2,429.0,0.1,2024-04-28 18:16:04.016490,postgre
6,5,9,2,2999.99,0.07,2024-04-28 18:16:04.016490,postgre
7,1,15,1,529.99,0.07,2024-04-28 18:16:04.016490,postgre
7,2,3,1,999.99,0.1,2024-04-28 18:16:04.016490,postgre
7,3,17,2,429.0,0.1,2024-04-28 18:16:04.016490,postgre
8,1,22,1,269.99,0.05,2024-04-28 18:16:04.016490,postgre
8,2,20,2,599.99,0.07,2024-04-28 18:16:04.016490,postgre
9,1,7,2,3999.99,0.1,2024-04-28 18:16:04.016490,postgre
10,1,14,1,269.99,0.1,2024-04-28 18:16:04.016490,postgre
11,1,8,1,1799.99,0.05,2024-04-28 18:16:04.016490,postgre
11,2,22,2,269.99,0.1,2024-04-28 18:16:04.016490,postgre
11,3,16,2,599.99,0.2,2024-04-28 18:16:04.016490,postgre
12,1,4,2,2899.99,0.1,2024-04-28 18:16:04.016490,postgre
12,2,11,1,1680.99,0.05,2024-04-28 18:16:04.016490,postgre
13,1,13,1,269.99,0.1,2024-04-28 18:16:04.016490,postgre
13,2,17,2,429.0,0.05,2024-04-28 18:16:04.016490,postgre
13,3,20,2,599.99,0.1,2024-04-28 18:16:04.016490,postgre
13,4,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre
14,1,6,1,469.99,0.07,2024-04-28 18:16:04.016490,postgre
15,1,12,2,549.99,0.07,2024-04-28 18:16:04.016490,postgre
15,2,8,1,1799.99,0.07,2024-04-28 18:16:04.016490,postgre
15,3,18,2,449.0,0.05,2024-04-28 18:16:04.016490,postgre
15,4,23,2,299.99,0.2,2024-04-28 18:16:04.016490,postgre
16,1,8,1,1799.99,0.2,2024-04-28 18:16:04.016490,postgre
