order_id,item_id,product_id,quantity,list_price,discount,extract_date,source,list_price_egp
1,1.0,20,1,599.99,0.2,2024-04-28 18:16:04.016490,postgre,28716.43038485
1,2.0,8,2,1799.99,0.07,2024-04-28 18:16:04.016490,postgre,86150.24838485
1,3.0,10,2,1549.0,0.05,2024-04-28 18:16:04.016490,postgre,74137.486735
1,4.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre,28716.43038485
1,5.0,4,1,2899.99,0.2,2024-04-28 18:16:04.016490,postgre,138797.91488484998
2,1.0,20,1,599.99,0.07,2024-04-28 18:16:04.016490,postgre,28716.43038485
2,2.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre,28716.43038485
3,1.0,3,1,999.99,0.05,2024-04-28 18:16:04.016490,postgre,47861.03638485
3,2.0,20,1,599.99,0.05,2024-04-28 18:16:04.016490,postgre,28716.43038485
4,1.0,2,2,749.99,0.1,2024-04-28 18:16:04.016490,postgre,35895.657634849995
5,1.0,10,2,1549.0,0.05,2024-04-28 18:16:04.016490,postgre,74137.486735
2,2.0,16,2,599.99,0.05,2024-04-28 18:16:04.016490,postgre,28716.43038485
3,1.0,3,1,999.99,0.05,2024-04-28 18:16:04.016490,postgre,47861.03638485
5,2.0,17,1,429.0,0.07,2024-04-28 18:16:04.016490,postgre,20532.589935
5,3.0,26,1,599.99,0.07,2024-04-28 18:16:04.016490,postgre,28716.43038485
6,1.0,18,1,449.0,0.07,2024-04-28 18:16:04.016490,postgre,21489.820235
6,2.0,12,2,549.99,0.05,2024-04-28 18:16:04.016490,postgre,26323.35463485
6,3.0,20,1,599.99,0.1,2024-04-28 18:16:04.016490,postgre,28716.43038485
6,4.0,3,2,999.99,0.07,2024-04-28 18:16:04.016490,postgre,47861.03638485
6,5.0,9,2,2999.99,0.07,2024-04-28 18:16:04.016490,postgre,143584.06638484998
7,1.0,15,1,529.99,0.07,2024-04-28 18:16:04.016490,postgre,25366.12433485
7,2.0,3,1,999.99,0.1,2024-04-28 18:16:04.016490,postgre,47861.03638485
7,3.0,17,2,429.0,0.1,2024-04-28 18:16:04.016490,postgre,20532.589935
6,5.0,9,2,2999.99,0.07,2024-04-28 18:16:04.016490,postgre,143584.06638484998
7,1.0,15,1,529.99,0.07,2024-04-28 18:16:04.016490,postgre,25366.12433485
7,2.0,3,1,999.99,0.1,2024-04-28 18:16:04.016490,postgre,47861.03638485
7,3.0,17,2,429.0,0.1,2024-04-28 18:16:04.016490,postgre,20532.589935
8,1.0,22,1,269.99,0.05,2024-04-28 18:16:04.016490,postgre,12922.13043485
8,2.0,20,2,599.99,0.07,2024-04-28 18:16:04.016490,postgre,28716.43038485
9,1.0,7,2,3999.99,0.1,2024-04-28 18:16:04.016490,postgre,191445.58138484997
10,1.0,14,1,269.99,0.1,2024-04-28 18:16:04.016490,postgre,12922.13043485
11,1.0,8,1,1799.99,0.05,2024-04-28 18:16:04.016490,postgre,86150.24838485
